"filename", "language", "Python", "JSON Lines", "JSON", "Markdown", "Ini", "JSON with Comments", "pip requirements", "comment", "blank", "total"
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-34\phase_5_checklist.md", "Markdown", 0, 0, 0, -66, 0, 0, 0, 0, -22, -88
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-34\plan.md", "Markdown", 0, 0, 0, -98, 0, 0, 0, 0, -16, -114
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-35\decisions.md", "Markdown", 0, 0, 0, -34, 0, 0, 0, 0, -10, -44
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-35\design.md", "Markdown", 0, 0, 0, -98, 0, 0, 0, 0, -30, -128
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-35\phase_1_checklist.md", "Markdown", 0, 0, 0, -25, 0, 0, 0, 0, -11, -36
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-35\phase_2_checklist.md", "Markdown", 0, 0, 0, -129, 0, 0, 0, 0, -39, -168
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-35\phase_3_checklist.md", "Markdown", 0, 0, 0, -73, 0, 0, 0, 0, -18, -91
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-35\phase_4_checklist.md", "Markdown", 0, 0, 0, -42, 0, 0, 0, 0, -17, -59
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-35\phase_5_checklist.md", "Markdown", 0, 0, 0, -55, 0, 0, 0, 0, -16, -71
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-35\phase_6_checklist.md", "Markdown", 0, 0, 0, -49, 0, 0, 0, 0, -18, -67
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-35\plan.md", "Markdown", 0, 0, 0, -97, 0, 0, 0, 0, -19, -116
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-36\decisions.md", "Markdown", 0, 0, 0, -13, 0, 0, 0, 0, -3, -16
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-36\design.md", "Markdown", 0, 0, 0, -109, 0, 0, 0, 0, -32, -141
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-36\phase_1_checklist.md", "Markdown", 0, 0, 0, -105, 0, 0, 0, 0, -20, -125
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-36\phase_2_checklist.md", "Markdown", 0, 0, 0, -93, 0, 0, 0, 0, -20, -113
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-36\phase_3_checklist.md", "Markdown", 0, 0, 0, -115, 0, 0, 0, 0, -30, -145
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-36\phase_4_checklist.md", "Markdown", 0, 0, 0, -106, 0, 0, 0, 0, -24, -130
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-36\phase_5_checklist.md", "Markdown", 0, 0, 0, -125, 0, 0, 0, 0, -29, -154
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-36\plan.md", "Markdown", 0, 0, 0, -99, 0, 0, 0, 0, -18, -117
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-37\decisions.md", "Markdown", 0, 0, 0, -12, 0, 0, 0, 0, -3, -15
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-37\design.md", "Markdown", 0, 0, 0, -90, 0, 0, 0, 0, -24, -114
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-37\phase_1_checklist.md", "Markdown", 0, 0, 0, -65, 0, 0, 0, 0, -17, -82
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-37\phase_2_checklist.md", "Markdown", 0, 0, 0, -112, 0, 0, 0, 0, -30, -142
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-37\phase_3_checklist.md", "Markdown", 0, 0, 0, -156, 0, 0, 0, 0, -50, -206
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-37\phase_4_checklist.md", "Markdown", 0, 0, 0, -113, 0, 0, 0, 0, -31, -144
"c:\Dev\Starship Battles\Projects\active_projects\PROJ-37\phase_5_checklist.md", "Markdown", 0, 0, 0, -92, 0, 0, 0, 0, -30, -122
