TestFilePath,Verdict,Reason,SUT_Path
tests\unit\entities\test_crystalline_armor.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\simulation\entities\layer_data.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\test_emissive_armor.py,REVIEW,Manual review required,game\simulation\entities\layer_data.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\test_hull_layer.py,REVIEW,Manual review required,game\core\constants.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\test_layer_data.py,REVIEW,Manual review required,game\simulation\components\component.py;game\simulation\entities\layer_data.py
tests\unit\entities\test_mandatory_modifiers.py,REVIEW,Manual review required,game\ui\screens\builder\modifier_logic.py;game\ui\services\component_service.py;game\ui\panels\builder_widgets.py;game\core\registry.py;game\simulation\components\component_constants.py
tests\unit\entities\test_mandatory_updates.py,REVIEW,Manual review required,game\ui\screens\builder\modifier_logic.py;game\ui\services\component_service.py;game\core\registry.py;game\simulation\components\component_constants.py;game\simulation\components\component.py
tests\unit\entities\test_modifiers.py,REVIEW,Manual review required,game\core\registry.py;game\simulation\components\abilities\resources.py;game\simulation\components\component.py
tests\unit\entities\test_modifier_defaults_robustness.py,REVIEW,Manual review required,game\ui\screens\builder\modifier_logic.py;game\ui\services\component_service.py;game\core\registry.py;game\simulation\components\component.py
tests\unit\entities\test_modifier_propagation.py,REVIEW,Manual review required,game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\test_modifier_row.py,REVIEW,Manual review required,game\ui\screens\builder\modifier_row.py;game\simulation\components\component_constants.py
tests\unit\entities\test_planetary_complex.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\test_projectile_edge_cases.py,DELETE,Tests dead code: game\simulation\__init__.py,game\simulation\__init__.py
tests\unit\entities\test_resources.py,REVIEW,Manual review required,game\simulation\systems\resource_manager.py;game\simulation\components\abilities\resources.py
tests\unit\entities\test_scaling_logic.py,REVIEW,Manual review required,game\core\registry.py;game\simulation\components\abilities\resources.py;game\simulation\components\component.py
tests\unit\entities\test_ship.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship_serialization.py;game\simulation\entities\ship.py
tests\unit\entities\test_ship_caching.py,REVIEW,Manual review required,game\core\constants.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\test_ship_classes.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\ui\assets\__init__.py;game\core\registry.py
tests\unit\entities\test_ship_di.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\core\constants.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\test_ship_formation.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\simulation\entities\ship_formation.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\test_ship_formation_edge_cases.py,REVIEW,Manual review required,game\simulation\entities\ship_formation.py
tests\unit\entities\test_ship_physics_mixin.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\test_ship_resources.py,REVIEW,Manual review required,game\simulation\components\component_constants.py;game\simulation\entities\ship_loader.py;game\core\constants.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\test_ship_serialization.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship_serialization.py;game\simulation\entities\ship.py
tests\unit\entities\test_ship_serialization_di.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\core\constants.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship_serialization.py;game\simulation\entities\ship.py
tests\unit\entities\test_ship_stats.py,REVIEW,Manual review required,game\simulation\entities\layer_data.py;game\core\constants.py;game\simulation\systems\resource_manager.py;game\core\registry.py;game\simulation\entities\ship_stats.py;game\simulation\components\component.py
tests\unit\entities\test_ship_stat_querier.py,REVIEW,Manual review required,game\simulation\entities\ship_stat_querier.py;game\simulation\components\abilities\__init__.py
tests\unit\entities\test_ship_theme_logic.py,REVIEW,Manual review required,game\ui\assets\__init__.py
tests\unit\entities\test_ship_validator_helper.py,REVIEW,Manual review required,game\simulation\entities\ship_validator_helper.py
tests\unit\entities\test_stacking_integration.py,REVIEW,Manual review required,game\simulation\entities\layer_data.py;game\core\constants.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\test_stacking_rules.py,REVIEW,Manual review required,game\simulation\entities\layer_data.py;game\core\constants.py;game\simulation\entities\ship_stats.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\ship_helpers\test_component_getters.py,REVIEW,Manual review required,game\core\constants.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\entities\ship_helpers\test_component_operations.py,REVIEW,Manual review required,game\core\constants.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\fixtures\test_battle_fixtures.py,REVIEW,Manual review required,game\simulation\systems\battle_engine.py
tests\unit\fixtures\test_component_fixtures.py,REVIEW,Manual review required,game\core\constants.py;game\simulation\components\component.py
tests\unit\fixtures\test_paths.py,REVIEW,No SUT identified,Unknown
tests\unit\fixtures\test_ship_fixtures.py,REVIEW,Manual review required,game\core\constants.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\performance\test_profiler_perf.py,REVIEW,Manual review required,game\core\json_utils.py;game\core\profiling.py
tests\unit\quickstart\test_quickstart_builder.py,REVIEW,Manual review required,game\strategy\data\planet.py;game\strategy\quickstart_builder.py;game\strategy\engine\game_config.py
tests\unit\quickstart\test_quickstart_designs.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\core\json_utils.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\quickstart\test_quickstart_races.py,REVIEW,Manual review required,game\strategy\data\race_config.py;game\core\json_utils.py
tests\unit\refactor\test_ability_introspection.py,REVIEW,Manual review required,game\simulation\components\abilities\base.py;game\simulation\components\abilities\stat_keys.py;game\simulation\components\component.py
tests\unit\refactor\test_ability_stat_binding.py,REVIEW,Manual review required,game\simulation\components\abilities\stat_keys.py
tests\unit\refactor\test_beam_weapon_bindings.py,REVIEW,Manual review required,game\simulation\components\abilities\weapons.py;game\simulation\components\abilities\stat_keys.py
tests\unit\refactor\test_crew_required_mass_scaling.py,REVIEW,Manual review required,game\simulation\components\abilities\crew.py;game\simulation\components\abilities\stat_keys.py
tests\unit\refactor\test_crew_resource_bindings.py,REVIEW,Manual review required,game\simulation\components\abilities\crew.py;game\simulation\components\abilities\resources.py;game\simulation\components\abilities\stat_keys.py
tests\unit\refactor\test_defense_marker_bindings.py,REVIEW,Manual review required,game\simulation\components\abilities\defense.py;game\simulation\components\abilities\markers.py;game\simulation\components\abilities\harvester.py;game\simulation\components\abilities\stat_keys.py
tests\unit\refactor\test_formula_edge_cases.py,REVIEW,Manual review required,game\simulation\components\modifier_effects.py
tests\unit\refactor\test_formula_error_handling.py,REVIEW,Manual review required,game\simulation\components\modifier_effects.py
tests\unit\refactor\test_formula_validation.py,REVIEW,Manual review required,game\core\registry.py;game\simulation\components\component.py;game\simulation\components\modifier_effects.py
tests\unit\refactor\test_invalid_operation_handling.py,REVIEW,Manual review required,game\simulation\components\component_constants.py;game\simulation\components\modifiers.py;game\simulation\components\modifier_schema.py
tests\unit\refactor\test_modifier_effect.py,REVIEW,Manual review required,game\simulation\components\modifier_effects.py
tests\unit\refactor\test_modifier_effect_evaluator.py,REVIEW,Manual review required,game\simulation\components\modifier_effects.py
tests\unit\refactor\test_modifier_introspection.py,DELETE,Tests dead code: game\simulation\components\component.py;game\simulation\components\modifier_introspection.py,game\simulation\components\component.py;game\simulation\components\modifier_introspection.py
tests\unit\refactor\test_modifier_json_schema.py,REVIEW,Manual review required,game\simulation\components\modifier_schema.py
tests\unit\refactor\test_modifier_loader_v2.py,REVIEW,Manual review required,game\core\registry.py;game\simulation\components\component_constants.py;game\simulation\components\component.py
tests\unit\refactor\test_multi_ability_effects.py,REVIEW,Manual review required,game\simulation\components\component_constants.py;game\simulation\components\component.py;game\simulation\components\modifier_effects.py
tests\unit\refactor\test_pipeline_unification.py,REVIEW,Manual review required,game\simulation\components\abilities\stat_keys.py;game\simulation\components\component.py;game\simulation\components\abilities\__init__.py
tests\unit\refactor\test_projectile_weapon_bindings.py,REVIEW,Manual review required,game\simulation\components\abilities\weapons.py;game\simulation\components\abilities\stat_keys.py
tests\unit\refactor\test_propulsion_ability_bindings.py,REVIEW,Manual review required,game\simulation\components\abilities\propulsion.py;game\simulation\components\abilities\stat_keys.py
tests\unit\refactor\test_seeker_multi_ability.py,REVIEW,Manual review required,game\simulation\components\component.py;game\simulation\components\abilities\weapons.py
tests\unit\refactor\test_seeker_weapon_bindings.py,REVIEW,Manual review required,game\simulation\components\abilities\weapons.py;game\simulation\components\abilities\stat_keys.py
tests\unit\refactor\test_stat_key.py,REVIEW,Manual review required,game\simulation\components\abilities\stat_keys.py
tests\unit\refactor\test_weapon_ability_bindings.py,REVIEW,Manual review required,game\simulation\components\abilities\weapons.py;game\simulation\components\abilities\stat_keys.py
